post_id,sentence,true_label,logits
1123697297467031558_twitter,kiske to kick someone gay old for a gay little ass,normal,[-1.0079957   0.16030735  0.2199283 ]
1178398776916086784_twitter,musacchio suspended for being a retard blame giampaolo,normal,[-0.39943472 -0.50299525  0.93105304]
16333911_gab,started as trash ending as worthless nigger trash,hatespeech,[ 1.2879082  -1.0157017  -0.46696818]
6921568_gab,is not it nice for the fuzzy muzzies to receive free resources at the expense of europeans so that they can render those charitable people extinct,hatespeech,[ 0.46446422 -0.4587131  -0.07177018]
1109547724838457345_twitter,real nigger me please,normal,[ 1.0684819  -0.87679523 -0.34098667]
1178778192208945158_twitter,<user> i agree racism is wrong as a principle and as a fellow queer it important to strive for an intersectional inclusion in our community hate speech is wrong calling someone white trash is wrong but it also important to acknowledge the pain and fight of fellow queer poc,normal,[-1.2521155   0.9334619  -0.24231805]
10068208_gab,<user> i went to a minor league ball game yesterday in a majority black city truly baseball is honky ball white families with kids as far as the eye could see it was packed,normal,[-1.0987397   0.92475075 -0.2477851 ]
1178919022793916416_twitter,<user> chinaman satanist lee hsien loong malaysian criminals have been gossiping false information to the ntuc supermarket sembawang mart staff since mid <number> swift discoveries if questioned,normal,[-0.3117356   0.1954564   0.09409751]
1179048685654745095_twitter,<user> is concerned about kashmir she is not concerned that <user> threatened terrorism bloodshed and nuclear holocaust on <number> billion indian citizens in front of the whole world at unga,normal,[-1.5031433   0.6230681  -0.00621261]
13107427_gab,dear niggas police your own you filthy scum by the by any pedo or rapist should be burned at the stake not just the spook it just they seem to like that shit almost as much as scum moslem groomers,hatespeech,[ 0.53749144 -0.6362064   0.00137352]
18957160_gab,damn i have not seen a nigger get whipped that badly since kunta kinte,hatespeech,[ 1.2590673  -1.0474411  -0.36748415]
26428645_gab,can someone please find out if this judge is one of them looks like a crypto faggot kike to me,hatespeech,[ 1.8533564 -1.7817906 -0.438949 ]
1520595_gab,<user> given that he <percent> of the globalists top <percent> are kikescum and that the dictatorship ruling over americans is largely comprised of jewfilth perverts and criminals pace wikileaks and that the most powerful banking factions are mostly ratfaced yids,hatespeech,[-0.8936542   0.5246491  -0.00564374]
1179071028552781824_twitter,i am the collector of all white sauces,normal,[-0.7481214   0.1505555   0.03256288]
1179047499216179202_twitter,<user> i hate everything about this film not to mention it basically validating radical white violence as a result of being forgotten by society,normal,[-1.4499104   0.74102664 -0.15389061]
1179103554289582081_twitter,<user> <user> we are believe that it will happen again and again after the <date> of the protest they want to kill all the protester to stop this protest action,normal,[-1.1499093   1.0260546  -0.18739167]
1178856299171373057_twitter,september ain t waste no time out this ho he came faster than some of you niggers,offensive,[ 0.98231006 -1.0483774  -0.3027208 ]
25465320_gab,reverse it west yorkshire police are so good at their job no child raped by paki muslims on their watch asif,offensive,[-0.08163292 -0.18693633  0.25322533]
1179045003794030592_twitter,my bestie beach sent me a playlist full of white trash music and now i have fallen down an icp rabbit hole at work,normal,[-1.5023444   0.91891766 -0.3475055 ]
23331323_gab,cantwell is actually talking to federal agents and nehlen has a spic wife so what you are saying does not make sense the only reason i think you could be saying these things is if you are a subverter yourself,hatespeech,[-0.84812796  0.14947188  0.1264374 ]
19945776_gab,labour loves the free movement of peoples in europe except when it leads to brown people feelings getting hurt this street shitting raghead need a one way ticket back to which ever shit hole country he crawled out of,hatespeech,[ 0.42414746 -0.533427    0.00669328]
15231597_gab,fuck the nigger bitches,hatespeech,[ 1.3550586  -1.080743   -0.43700114]
1178749721306906624_twitter,<user> dey can suck my dick my po nd dat white ass judge,normal,[-1.6317141   0.75868285 -0.07952753]
1087526819342049281_twitter,i am tired of niggas acting like carmelo anthony is trash,normal,[-0.920653    0.20879892  0.0627065 ]
25711501_gab,so according to kike shapiro <number> out of <number> dead and <number> injured being members of hamas justifies everything,offensive,[ 1.3663557  -1.3652605  -0.28566968]
15465826_gab,but that you can not even articulate kike what is yes a kike is anyone who signals against myself or any other alt right person who only exposes jews and my posts judaism v the world among other posts have brought you to my timeline kike,hatespeech,[ 1.7085385  -1.5708047  -0.42908812]
1146513422055550978_twitter,i feel whoever dresses amy want her to look ridiculous love island,normal,[-0.12272546 -0.14332013  0.06488192]
1179043156131811329_twitter,you niggers are dumb,hatespeech,[ 1.1507747  -1.286936   -0.29204115]
1179096333413519360_twitter,sit down faggots,offensive,[-0.18117067 -0.37828624  0.41120583]
12345088_gab,western europeans united against the inferior subhuman mudslime filth,hatespeech,[-0.22444883  0.09816346 -0.0219211 ]
1178924490572484608_twitter,<user> <user> you all keep saying woke disney but the board of directors and presidents are all white besides one guy,normal,[-1.841326   1.1276911 -0.1441821]
1179187033438330882_twitter,cause why beg when it niggas out here begging me,normal,[-1.2314653  0.5371038 -0.2261195]
1162547667416899586_twitter,there too many wypipo asking what this is and if they can get in this is a niggers only event,hatespeech,[ 1.0374349  -1.1546907  -0.19990732]
1178730155088470016_twitter,<user> <user> <user> <user> <user> if your interpretation of a strong black man means you who follows white supremacy never read the malcolm x book thinking he about that life i think rosa would probably turn lesbian than to have a failing man,normal,[-2.3744235   2.0456312  -0.50359935]
18948105_gab,you are officially a nigger or jew or oven middle class if you use the phrase white trash,hatespeech,[ 1.5148063  -1.3185865  -0.45984644]
1179023905446666240_twitter,and that not even the last worst of what he did he claims he raped and murdered <number> girls in the <number> but would toy with the investigators by confessing and then later saying he did not remember etc,normal,[-0.6540698   0.07860395  0.17280437]
1178468147327729664_twitter,<user> <user> if you are black hispanic gay or lesbian or democrat it all good nothing you do can be construed as a crime however if you are white or republican you can get the death penalty for a parking ticket,normal,[-1.7960665   1.2862267  -0.22530384]
1179065625626460162_twitter,<user> <user> <user> <user> i pity for you you know nothing how hundreds have dies fighting terrorists they are just like japanese people who raped your women and murdered your men i think you forgot how evil people can get bye,normal,[-2.190531   1.747624  -0.4242268]
1179098536199311365_twitter,<user> then you are retarded which is kinda true,normal,[-0.8886316  -0.64330345  1.0075387 ]
1179028882911105024_twitter,and of course where this ultimately leads to the tate murders failure to occur what this creates in effect is a fantasy jewish moralizer comparable to the war against the germans existing in ib while simulatenously offering a holocaust negation fantasy,normal,[-0.2311081  -0.12745622  0.2880884 ]
1087149424256651269_twitter,shout out to whoever invented hot sauce,normal,[-0.8277383   0.15069592  0.06041313]
1179061893237022726_twitter,<user> <user> <user> no it would be different in other parts of the world i clearly stated that i am talking about white privilege in the us make your argument make sense,normal,[-2.2416008   1.4699696  -0.23157097]
1179047923323154435_twitter,<user> god speed to whoever has to interview him,normal,[-1.3238617   0.67808855 -0.07821104]
1178830600171601924_twitter,<user> where is the diversity video full of white people trust me very painful for the minority very painful,normal,[-1.4498127   0.64918613 -0.05100197]
1178921633031114752_twitter,<user> <number> interracial violent victimizations excluding homicide between blacks and whites last year including white on black and black on white attacks blacks committed <number> of those interracial felonies or <number> %, and whites committed <number> of them or less than <number>,normal,[-1.2062371   0.6455461  -0.09790058]
1179084808376467456_twitter,my light skin joint got a white boy now i am not type to fight that back but if she ever come around imma widen that gap another bar from <user>,normal,[-1.308914    0.46751112 -0.016924  ]
1179025686318784517_twitter,anyone leaked the info on who at youtube is the white supremacist neonazi fiddling with the algo seems that should drop next right along with the metrics linking up the infosec talking heads with their harassment and nazi socks right guise,normal,[-0.21924059  0.02691408  0.09411989]
362E9TQF2HRABD89HARI0Y2GDU9GIX_nf_2,i have long remembered that with intense horror as her being raped and tortured that was happening it was not without her consent,normal,[-0.2646016   0.02900055  0.09742557]
1179105246137724928_twitter,<user> <user> jews actually are the most over represented,normal,[-1.1414139   0.5394403   0.09116577]
16845479_gab,shot by a muzzie that reported to a dyke who answered to a leftist mudshark in communist mn yeah i believe it,hatespeech,[ 1.065893   -0.99113405 -0.336959  ]
1179070307052769281_twitter,<user> me to you 😂 or i am like you know what i take it back fuck you too hoe 💀,normal,[-1.6543024   0.8521881  -0.23319115]
15295049_gab,it is impossible for me to follow the rules on twitter you can not even call girls who shave the sides of their heads ugly dykes anymore,hatespeech,[-1.1354988  0.6203426 -0.2618873]
1178857982722920449_twitter,<user> eldar is queer race imperium of man is patriarchy welcome to the new faggotry lmao,hatespeech,[-1.5387819   0.6192486   0.00618484]
1082113977751166977_twitter,that niggah do not do nothing but make you cry girl you dating a onion,normal,[-0.8593041  -0.02801701  0.40928018]
1179082312123916292_twitter,i need to calm down and stop being so autistic like honestly im just too retarded wtf im going to try be a calmer person from now on,hatespeech,[-0.2817045  -0.85492224  0.78918266]
15928526_gab,hope she remembered defending the mudslime that instigated the gang rape and murder karma is a bitch,offensive,[ 0.12994392 -0.15246387  0.1178842 ]
1179104577179791360_twitter,<user> andrew johnson impeached failed send every negro back to africa beat as worst president by trump go back places from which they came read jesus turned serapis sermon on the black christ lulu thomas jefferson pimped skydog and the aunt jamama bomb lulu,normal,[-1.311935    0.7191323  -0.05445746]
